aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
36131-6030;2;13;9;;;;;59;1;;6;8;5;54;;13;15;;2;1;;;2;2;2;2;2;1;;8;;3;;;;;2;4;;;;;;;;;6;;4;9;2;;;;7;1;1;2;2;;;;1;1;18;1;7;6;2;1;1;3;2;2;;;1;2;1;;;;2;;;;;;;5;2;;;2;;;;;1;1;3;3;3;1;1;1;20;1;;10;3;2;2;2;1;1;1;2;2;1;9;1;5;3;2;1;2;1;5;;;3;;2;1;;;;2;;;;;;
36123-5384;;9;1;;;;;21;;;;;;16;6;1;1;3;;2;;;;;;;;3;;2;;;;;;;1;;;;;;;;;;6;2;;1;1;;;;3;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;7;;;5;2;1;1;1;;;;;;;1;;1;1;1;1;;;1;;;1;;1;1;1;;;;;;;;;
29016-4114;2;5;5;2;5;6;4;31;1;;7;10;2;35;;4;11;2;2;;;2;;;;;;;3;1;;;;1;1;1;;5;2;1;1;2;2;2;;4;3;;;2;;1;1;;;;;;2;;1;;;;6;;2;;;;;;;;;;1;;;;;;7;3;;;5;;1;7;;;;7;3;1;1;;;1;2;;1;;1;1;9;;1;3;3;1;1;;;;;;;;3;;1;;;;1;;3;1;;1;;;;1;2;2;;;;;;;
31601-4917;;3;;3;;4;1;37;1;;5;8;2;25;;10;12;1;;;;;;;;;;;;1;1;;2;;;;;;3;;;3;3;;;1;3;;;;;1;;;2;;;;5;;2;;;;10;;1;1;;;;2;2;;;;1;;;3;3;;1;1;1;;3;2;1;4;;2;2;;;1;1;1;;1;1;1;;1;1;;6;;;3;1;1;;;;1;1;1;1;1;10;2;6;3;1;;8;4;6;5;3;3;3;1;;1;;;;;;;;;
31572-4448;;1;1;;;;;15;1;1;1;4;2;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;1;;1;;2;1;1;;1;;;;;;;;;;1;1;1;;;;;;;;1;1;;1;1;;;;;2;;1;1;;1;;;1;1;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
36328-5061;;15;6;;3;1;;36;1;2;8;10;3;33;;9;23;1;;5;;;;;;;;;5;3;1;2;2;;;;5;4;;2;2;;;;;;5;;2;1;;1;;;2;;;;4;1;2;;;;12;;4;3;2;1;;2;2;1;;;1;2;;;;;3;2;;1;2;;;7;1;;;1;;;;;;2;;;4;4;1;1;14;1;1;6;5;2;;;;3;3;6;5;2;8;1;3;1;;;4;2;10;3;2;3;1;2;1;;;;;2;;;;;
44060-6590;1;10;1;1;2;3;;28;;7;7;9;2;29;;7;14;;1;7;2;;;;;;;1;;;;;;1;1;;1;;;;;1;;2;;;5;;;;;2;1;;3;;1;1;1;;;;2;1;5;;1;;;;;2;1;;;2;;;;3;1;1;1;;;;;;;1;;;;;;1;;2;5;;1;;;;1;;8;;1;2;;;;;;;;2;2;1;5;;3;;;;1;;6;1;;;;;;;1;;;;7;;;2;
35936-5489;;;;;4;5;;23;;;2;4;;24;;1;1;;;3;2;;;;;;;;;;;;;;;;;;;1;1;;;2;;;;;;;;2;;;;;;;;;;;;;9;;4;1;1;;;;;;;1;;1;;;;;1;1;;1;1;;;1;1;;;;;;;;1;;;;;1;;;8;;;2;2;;;;;;;1;1;;1;1;;;;;1;1;;;;;;;;;;;;1;;;2;;
23182-4433;1;6;3;;;;;8;;;1;1;;;;;;;1;;;;1;1;1;1;1;1;;3;1;;;;;;3;;;;;;;;;;1;;;3;3;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
35908-5490;8;19;11;;;;;29;1;6;6;12;4;42;1;1;1;;8;11;1;5;6;5;6;6;5;3;5;6;1;1;;2;2;2;10;2;;;;;;;;;4;1;1;7;6;;;;2;;;2;1;;;;2;1;11;;5;1;;;;1;1;;;;1;1;1;1;;;;;;;1;;;;;;;;;;;3;5;1;2;;;;2;;10;;1;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;5;5;5;2;6;;;;
21894-4114;4;10;14;;10;3;;33;2;;3;8;7;46;4;6;10;3;4;1;;1;3;2;2;2;1;1;3;1;;1;1;1;1;1;6;5;;6;2;;;;1;;1;;;11;5;1;;;3;;;;;;;;3;2;11;2;3;1;1;;;;;;;;2;;;;;;;;;;3;;;2;;;;;;1;1;;1;4;4;1;;;3;;8;;1;4;2;1;1;1;1;1;1;2;2;;6;1;4;;;;4;3;4;2;2;;;;;3;1;1;2;;;;;;
27587-4917;;1;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28101-5384;2;11;;;;;;14;;;;2;;13;;2;3;;2;;;1;1;1;;;;1;;1;;;2;;;;;;;;;;;;;;5;1;;;;;;;3;1;;1;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2;;1;;5;2;;;;;;;;;;1;1;;2;;1;1;1;1;;;1;;;1;;1;1;;1;1;1;;;;;;
29379-6895;;1;1;;5;1;;25;1;1;;3;;16;;3;3;1;;7;1;;;;;;;;1;;;;;;;;;1;;;;;;1;;;;;;;;1;;;2;;;;;;;;;;6;;2;1;;;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;5;;;2;;;;;;;;;;;3;1;1;1;;;1;1;1;1;1;1;;;;1;;;;2;;;;;
33680-5384;;4;3;5;;5;;28;;;2;2;;19;;4;7;;;;;;;;;;;;;1;1;;;;;;1;;2;;;4;2;;;;2;;;2;1;3;2;;3;;;;1;;1;;;;5;;1;1;1;1;;1;1;1;;;;;;1;;;;;;;;;;2;;1;;;;;;;;;;;;1;1;1;2;;;1;1;1;;;;;;2;1;;3;;1;;;;1;1;4;1;1;2;;1;;;;;;;;;;;
32030-5061;2;22;4;;54;9;;115;7;;38;43;;62;;17;29;1;2;11;;;2;2;2;2;2;2;;6;2;;2;;;;;1;;24;14;;;1;3;;6;2;2;2;;4;;;7;1;;1;14;2;9;3;;;15;1;5;3;2;1;1;4;4;3;5;;6;18;2;8;2;1;3;2;1;2;9;2;3;24;6;7;2;1;1;4;2;1;2;;;;3;2;4;3;19;2;2;10;6;4;2;1;1;;;4;2;;12;2;4;3;1;1;7;1;6;5;;5;4;1;1;1;;;2;4;;;;;
31986-4435;;3;1;3;2;5;1;19;1;;7;11;1;15;1;2;9;1;;1;1;;;;;;;1;;1;;;2;;;;1;;2;;;;;1;;1;2;1;;;;1;;;2;;;1;5;1;3;;;;4;1;2;;;;;1;1;1;1;1;1;1;1;;;;3;3;;;2;2;;7;1;;;3;3;1;;1;;1;;;1;1;2;;7;1;1;2;;;;;;;;;;;1;1;1;1;1;;2;;4;;;3;;1;;1;;;;1;;1;1;;
40950-6030;4;19;25;1;2;5;5;67;3;9;60;40;20;26;1;5;13;1;4;12;3;2;2;2;;;;2;1;3;1;;;;;;6;4;;1;;1;;2;1;3;3;1;2;8;3;;;4;12;1;2;;4;1;1;1;6;5;6;;;;;;;3;2;;5;1;3;6;1;15;5;4;9;5;1;6;4;1;;31;1;10;4;4;2;6;5;;;1;17;13;;2;;;4;;;;;;;;;;;;;;5;;1;1;;;2;;4;2;;3;2;1;1;1;2;2;2;2;8;1;1;;
22607-5384;1;5;;2;;1;;24;2;;16;19;1;7;;;;;1;;;1;1;1;1;1;1;;;2;1;1;;1;1;1;;;1;;;1;1;;;;3;;1;;;;;;1;;1;1;10;1;5;;;;3;1;;;;;;;;;;;2;8;;2;2;1;3;1;;;2;1;;13;7;1;1;3;1;1;;;;;1;1;1;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
39398-5490;;4;3;;;;;9;;1;1;3;2;8;3;2;1;2;;4;1;;;;;;;;1;1;;;2;;;;2;1;;;;;;;;;1;;;2;1;;;;2;;;1;;;;;;;2;;1;1;1;1;;;;;1;;;;;1;1;;1;;;;;;;1;;1;1;;;;;2;2;;2;;;;2;1;5;;2;5;3;1;;;;;;;;;1;;1;1;;;;;1;;;1;;;;2;;;;1;1;1;1;1;
31747-5061;2;29;6;;;;;39;2;;10;9;2;42;1;6;4;1;2;;;1;1;1;1;1;1;2;;2;;;4;1;1;1;4;;;;;;;;;;7;1;;5;4;;;;;;;;2;;2;;2;1;14;;11;5;3;3;3;1;;;;;2;1;;;;;2;;;;;;;7;1;;;1;;;;;;1;1;1;7;;1;;23;5;1;11;9;7;5;5;4;3;;4;;;1;;;;;;;;2;;;2;;2;2;;1;1;1;;;;;;
31759-4114;1;5;;;;2;;21;;2;3;4;;39;;3;3;;1;3;;;1;1;1;1;1;1;;1;;1;;;;;;;;;;;;;1;;1;;;;;;;;5;1;;1;1;;;;;;5;;1;;;;;;;;1;;;1;1;1;1;1;;;;;;;;1;;1;1;;;1;;;2;;;;;1;1;;9;;;1;1;;;;;;;1;;;3;;1;;;;;;1;;;;;;;;;;1;;2;;;;
31805-6030;2;23;10;;14;3;;38;;;1;8;;37;;7;8;1;2;;1;1;1;1;1;1;1;2;2;5;;;2;1;1;1;8;;;2;1;;;3;;;7;;1;2;2;2;;;5;1;1;1;2;1;1;;;;12;1;6;4;2;1;1;3;2;1;;1;;;;;;;1;1;;;5;2;2;1;;;;1;1;1;;;;;;;3;2;7;;16;1;5;9;5;3;3;2;2;2;2;4;4;3;6;;5;5;5;4;4;1;6;4;1;6;4;5;4;1;1;1;1;;;;;;
27455-7297;2;22;16;;;;2;58;5;1;11;16;2;40;1;4;4;2;2;2;2;1;1;1;1;1;1;1;7;13;2;5;;1;1;1;10;4;;;;;;;;;9;;4;6;3;;;2;18;4;7;3;7;3;2;;;;20;;2;1;;;;1;1;1;1;;5;6;1;2;;;4;2;;;7;1;1;8;4;;;4;2;;;;1;1;2;2;2;;1;;7;;1;3;1;1;;;;;;;;;2;;2;1;;;;;3;;;1;;;;2;1;1;1;;1;;1;2;
31158-5384;1;7;3;1;6;8;;27;1;;9;10;3;32;1;6;7;2;1;7;1;1;;;;;;3;;;;;5;1;1;1;3;;1;4;1;1;1;2;1;;2;;;1;1;4;1;;2;;;1;3;;1;1;;;5;1;;;;;;1;1;1;;;1;;;5;3;3;2;1;3;;1;1;;6;;4;2;1;1;1;1;3;;1;1;1;2;1;6;1;8;;4;2;;;;;;1;1;2;2;1;6;2;5;2;2;2;3;;5;2;;2;1;2;2;1;1;1;;;;5;1;1;
27002-5489;;;2;;3;2;1;10;;;2;3;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;1;;;;1;1;;;;2;;2;;;;;;;;;;;;;;;;;1;;;;;2;;;;1;;;2;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
41292-6895;;1;;;;1;;10;;;1;2;;14;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;1;;;;;;6;;2;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;;;;2;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39904-6030;4;18;16;1;31;9;9;129;;1;20;24;20;38;3;4;4;;4;23;16;4;1;1;1;1;1;3;5;10;1;2;;3;3;3;7;11;1;2;1;1;1;2;5;7;10;;3;11;4;;;5;25;1;;;6;1;1;;12;9;21;1;9;5;2;2;2;;;;7;12;;8;1;1;;;5;4;;;8;1;3;14;4;;;4;3;1;;1;;6;15;11;1;4;4;1;20;;2;13;8;4;3;;;3;3;3;3;2;4;;3;3;2;2;3;1;3;3;1;3;3;2;2;;4;4;1;11;;3;11;1;
31386-4435;1;10;4;3;;3;2;15;1;;8;8;;11;;2;2;;1;1;;;1;1;1;1;1;2;;;;;2;;;;3;;3;;;3;3;;;1;4;;;1;1;;;2;1;;;1;2;;1;;;;2;;;;;;;;;;;;1;1;;2;1;1;1;1;1;;1;;;4;;2;1;1;1;2;1;1;1;;;;1;;1;1;2;1;;2;1;;;;;;;1;1;;2;1;1;1;1;1;1;;1;;;1;;1;1;;;;1;;;;;;
16014-5799;;6;7;;;;;16;;3;1;1;3;14;1;;;2;;4;2;;;;;;;;3;3;;3;;;;;5;3;;;;;;;;;2;;2;7;5;;;;2;;1;;;;;;2;1;7;;2;1;1;1;;;;;1;2;;;;;;;;;;;;;;1;;;;;;;;;1;1;1;1;1;;;;3;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;2;;
28256-5061;;;;;4;1;;5;1;;3;3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;1;;;;;;;;;;;;;;;1;;1;1;;;1;1;;;;;;;;;;;1;;;2;1;1;;;1;;2;1;1;3;;2;1;;;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30609-5061;;3;1;;;;;5;;;;;;6;;;;;;;;;;;;;;1;1;1;;;1;;;;1;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31436-4433;;12;8;10;;6;3;27;1;;7;12;;49;1;4;12;1;;5;4;;;;;;;1;;1;;;;;;;7;1;5;;;6;5;;;3;;;;6;6;;;3;1;;;;4;;1;;;;7;;2;;;;;1;1;;;3;1;3;1;;;;;;1;;1;;1;7;3;;;;;1;1;;;;;;;;;;14;;;3;3;2;1;1;;;;1;1;;4;;;;;;;;;;;;;;;1;;;;;;1;3;;
17491-5799;2;5;2;;;;;22;;;1;4;;17;;;;;2;;;1;1;1;1;1;1;1;1;3;;1;;;;;1;;;;;;;;;;1;;;;;;;;5;;;3;3;;;;;;11;;4;;;;;;;;;;;1;1;;;;;;;;1;;1;;;;;;;1;;1;;;;;1;1;;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
31671-4434;2;8;3;1;11;10;5;37;;;1;2;;22;;1;1;;2;2;;2;;;;;;;;2;;;;1;1;1;1;2;1;4;;1;1;1;3;5;3;;;1;1;3;;2;1;;;;1;1;;;;;5;;1;;;;;;;;1;;;1;;1;;;;;;;1;;;;;;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;1;1;;;;;1;;;;;;;;;;2;2;;1;;;;;
36383-5490;1;3;5;1;28;5;;51;;;12;11;6;39;;1;1;;1;3;;1;;;;;;1;1;1;1;;1;1;1;1;1;4;1;2;;1;1;1;;;3;1;;3;;5;1;;2;;;1;;;;;2;2;17;1;9;4;2;2;1;;;;;;;2;;4;3;2;4;4;;;1;;1;10;1;2;2;4;4;;;;;;6;5;1;1;1;;14;;;4;2;2;1;;;1;1;1;1;1;1;;1;1;1;;;;1;;;1;;1;;;1;1;;1;;2;;;
35962-6895;2;5;1;3;;2;;30;;;3;4;1;10;;3;6;;2;;;1;1;1;;;;;;4;1;1;;1;1;1;;;2;;;2;2;;;;1;;1;;;1;1;;12;;1;2;3;1;2;;;;9;;;;;;;1;1;;;;;1;1;;;;;;;;2;1;;2;1;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;3;;1;1;1;;1;1;2;1;1;1;1;1;;;1;1;1;;;;;;
24407-6030;4;24;7;;4;7;7;37;;;5;6;1;34;1;5;16;;4;4;2;3;3;3;2;2;2;2;2;3;1;1;2;1;1;1;2;;;2;;;;1;1;7;8;2;1;3;;;;5;;;;;3;1;1;;;;8;;4;1;1;1;;1;1;;;;;1;1;1;;;1;;;;1;;;3;1;1;;;;1;;;;;1;1;2;1;;;12;1;;3;2;2;;;;2;1;2;1;;4;;1;;;;3;1;4;1;1;1;1;1;1;;3;3;3;;;2;1;1;
30588-5490;1;1;;;;;;10;;;;1;;19;;1;3;;1;;;1;;;;;;;;1;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;8;;;2;1;1;1;1;;;;;;;1;1;;;;;1;;;;;;;;;;1;1;;;;;;;
35754-5489;;1;;;;4;;30;1;;2;5;;14;;2;7;;;7;2;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;4;;;2;;1;;1;;1;;;;5;;1;1;1;1;1;;;;;;1;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;1;;;1;1;1;1;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;2;;
22279-4114;2;12;9;;;;1;22;1;;3;3;6;7;;;;;2;;;1;1;1;;;;1;;1;;;1;1;1;1;5;2;;;;;;;;;3;1;;9;5;;;1;3;1;;1;1;;1;;3;1;2;;1;;;;;;;;;;1;2;;;;;2;1;;;;;;3;2;;;2;1;;;;;;3;3;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;
41483-6590;1;10;;4;13;7;;85;;3;21;31;;35;;12;12;2;1;11;2;1;;;;;;;;6;1;;3;1;1;1;;;3;1;1;4;3;1;1;;6;;2;;;4;2;;7;;5;1;22;;11;5;;;17;2;10;6;3;1;1;4;3;1;;1;;4;1;10;5;;5;3;1;3;4;;1;18;2;9;4;3;2;5;1;7;1;;;;3;2;8;3;20;2;4;11;8;4;2;1;;4;3;6;6;4;11;1;7;5;3;1;4;2;7;3;2;5;2;3;1;1;1;1;;2;3;7;1;1;
27482-5799;3;3;;;;;;15;;;1;3;;7;;;;;3;;1;3;;;;;;;;3;;;;3;3;3;;;;;;;;;;;3;;;;;;;;1;;;1;2;;;;;;5;;1;1;1;1;1;;;;;1;;;;;;;1;;;;;;;1;;;;1;;1;;2;;;;;;;;;3;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;1;
27553-4434;;;;;;;;5;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30993-4435;1;6;;;;;;54;3;;32;40;3;29;;10;8;2;1;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;4;;;;;;;;2;;;;22;1;18;6;;;10;;2;1;1;1;1;5;4;3;;;3;2;1;9;4;1;5;3;;1;4;1;;28;1;8;3;5;3;;;;1;3;;;1;1;2;;9;1;1;3;1;1;1;1;;;;2;1;1;7;1;5;;;;3;1;5;2;1;;;;;2;1;1;;;;;;;
36699-4917;;1;1;;;5;3;14;1;1;4;9;2;17;;4;3;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;2;;;;;;5;;3;;;;;;;;1;1;1;;;3;2;1;;;;;;;;4;;3;2;;;;;2;;;2;2;;1;2;1;6;;1;3;1;1;;;;;;;;;3;;1;1;1;1;;;1;;;1;;1;1;1;;;;;1;;;1;
40217-6030;2;14;1;;1;2;;27;1;;;2;;21;;5;6;1;2;3;;1;;;;;;2;1;5;1;2;1;;;;1;;;1;;;;1;1;;7;1;1;;;1;;;5;2;2;1;1;;;;;;11;;4;1;;;;1;1;1;2;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;1;;1;;7;;;4;1;;;;;1;1;2;1;1;4;;3;3;3;2;1;1;5;1;1;5;1;4;2;;2;1;;3;;1;;;
18444-4114;2;4;5;;;;;20;1;1;3;2;2;19;;5;17;2;2;2;;1;1;1;1;1;1;;;;;;;1;1;1;;2;;;;;;;;;3;;;2;;;;;1;;;;1;;;;;;5;;2;1;;;;1;1;;1;;1;;;1;1;1;1;;;1;1;1;;2;;1;1;1;;1;;1;;1;;;;2;;;7;;;5;2;;;;;1;;1;;;5;;1;;;;1;1;4;1;1;1;1;;;1;1;1;1;;1;;;;
40165-5799;2;12;8;8;15;11;;72;1;3;12;26;7;77;1;11;15;3;2;17;6;1;1;1;1;1;1;4;1;1;;;2;1;1;1;5;;6;9;4;6;6;;1;;3;1;;2;1;3;1;;7;;3;2;7;1;;;2;1;19;2;4;1;;;;1;;;4;2;1;1;;3;2;;3;1;1;;4;;2;5;;1;1;1;;4;1;4;7;1;4;;3;;4;;26;1;1;14;6;1;1;1;1;4;2;6;3;1;8;;5;1;;;3;;8;2;;2;;;;1;1;1;1;3;2;3;4;5;
38994-5384;2;8;3;;22;3;1;32;1;2;5;10;3;10;;2;1;;2;5;1;;2;;1;1;;3;3;3;2;1;1;;;;2;1;;13;6;;;2;1;;4;2;2;;;2;;;4;1;;;7;2;2;1;;;7;1;2;;;;;1;1;;1;;1;1;;1;1;;3;1;;2;6;1;4;5;1;1;1;2;;2;1;;2;2;2;;1;;1;1;3;1;;;;;;;;;;1;;;1;1;;;;;1;;;;;;;;;;1;;;1;2;;;;
41179-7114;1;11;1;2;3;5;;46;;;7;10;;25;;2;2;;1;2;1;1;;;;;;;;2;;1;;;;;1;;2;2;;2;2;;;;6;;1;1;1;4;1;;15;1;4;6;1;;;;;;19;3;8;3;2;1;1;;;;1;1;;2;;5;2;1;1;;;;1;;;6;;5;2;;;;;2;;;;;2;6;5;4;10;1;2;3;2;1;1;;;;;;;;2;;2;1;1;1;1;;2;1;;1;;1;1;;1;1;;1;;1;1;;
30588-6590;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31311-5489;1;7;;4;;3;;25;1;;2;10;;19;;3;2;;1;;;;1;1;;;;3;;;;;3;;;;;;3;;;2;2;;;;2;;;;;2;1;;1;;;;5;;2;;;;5;;2;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;5;;;;;;;;;1;1;2;1;1;2;;2;;;;1;;2;1;;;;;;;;;1;;;;;;
31525-4435;;;;;;;;8;;;1;;;8;;2;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;
36089-5384;1;18;;;;;;34;1;3;;4;;45;;1;3;;1;3;;;;;;;;;;8;1;5;;1;1;;;;;;;;;;;;9;;4;;;;;;2;;;;3;1;;;;;15;;3;;;;;;;;;;1;;;;;;;;;;2;2;;;;;;;;;;;1;;;;2;1;;;14;;;4;2;2;;;;;;;;;1;;1;;;;;;3;;;;;;;;1;;;;3;;;;
27482-4917;2;6;;1;;1;;25;;;1;1;;7;;;;;2;;1;;1;1;1;1;1;;;3;1;;3;1;1;;;;1;;;1;1;;;;4;;1;;;;;;2;1;1;;1;;1;1;;;2;;1;1;;;;;;;;1;;;;1;1;1;1;1;;;;;;1;;1;1;1;;;;1;;;;;1;;1;;3;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;
32035-5799;3;6;7;;25;2;;38;;;;;;13;3;;;;3;1;;;2;2;1;1;1;;;3;;;;;;;3;3;;5;1;;;2;;;2;;1;5;2;2;;;7;;;;;;;;;;8;;6;4;3;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;8;;;4;3;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;
30492-4433;1;11;1;2;43;11;6;73;4;;12;27;;43;2;13;14;3;1;4;3;1;;;;;;;;2;;;;1;1;1;;;2;28;17;2;2;3;1;6;6;;1;;;1;;5;3;;;;11;1;3;;;;11;2;4;2;1;;;3;3;2;;1;4;2;;3;2;1;1;;;;9;1;1;7;1;2;1;1;;7;1;2;1;;;;2;2;5;1;18;;2;5;2;1;;;;1;1;4;4;;11;1;4;4;1;;7;2;6;3;2;4;3;1;;3;1;1;;;;;1;2;
36139-5384;1;13;;4;;4;;37;;;26;25;;19;;4;5;2;1;10;;;1;1;1;1;1;;;1;;;;;;;;;3;;;4;3;;;;5;;;;;1;1;;;;;;8;;5;2;;;3;1;1;1;1;1;1;2;2;1;1;;;3;;10;3;1;2;1;1;;;;;14;;5;2;1;1;4;3;2;;;;;1;;5;3;5;1;3;1;1;1;1;1;;;;1;1;;3;;2;1;1;;2;1;3;2;1;1;1;1;;;;;1;1;;;;;
31619-4434;;5;4;;;;;12;1;;3;4;5;11;;3;2;1;;1;1;;;;;;;;3;;;;;;;;4;;;;;;;;;;;;;1;1;;;;;;;;;;;;3;1;5;;2;;;;;;;;;1;;1;1;2;;;1;1;;;1;;1;3;1;2;;1;1;;;;;2;2;1;;;1;1;4;;;;;;;;;1;;2;;;1;;1;;;;1;1;1;;;;;;;;;;;;;;1;;
33457-5490;2;4;12;4;;4;2;54;;;1;2;1;37;3;4;8;;2;3;1;1;1;1;1;1;1;;3;;;;;1;1;1;;6;3;;;3;3;;1;1;2;;;10;;2;1;1;8;;;1;;;;;1;1;11;;2;;;;;1;;;;;;;;1;1;1;;;;;;;;1;;1;1;;;1;;1;;;1;1;;4;1;;12;;1;4;3;2;1;1;;;;1;;;2;;1;1;;;;;1;;;1;;;;;1;1;1;;;;1;1;
27630-6895;2;3;;3;;2;;27;2;;8;12;;19;;1;1;;2;;;;2;2;2;2;2;;;1;;1;;;;;;;3;;;2;2;;;;2;;;;;;;;6;1;2;4;7;1;4;;;;14;1;5;3;;;;1;1;1;;;2;3;1;1;;;1;;1;;6;1;3;7;2;;;1;;;;;;;;;;;3;2;7;;2;3;;;;;;;;;;;1;;1;;;;1;1;1;1;1;;;;;;;;2;;;;;;
